distribution,n,trial,insert_time,search_time,delete_time
random,100,1,2.011207999999e-03,1.463339999930e-04,9.382920000007e-04
random,100,2,2.022291000003e-03,1.369579999988e-04,1.041041999997e-03
random,100,3,2.006541000000e-03,1.314999999948e-04,9.315420000036e-04
random,1000,1,2.969341600000e-02,1.655000000085e-04,1.402037500000e-02
random,1000,2,2.983887500000e-02,1.779159999984e-04,1.440533300000e-02
random,1000,3,2.965658300000e-02,1.666249999914e-04,1.423612500001e-02
random,5000,1,1.897343330000e-01,1.872920000068e-04,8.891029199999e-02
random,5000,2,1.824628750000e-01,1.947500000057e-04,8.733016700000e-02
random,5000,3,1.834999170000e-01,1.917920000096e-04,8.775712500001e-02
random,10000,1,3.982181250000e-01,2.054170000036e-04,1.902600420000e-01
random,10000,2,3.947503750000e-01,1.992090000016e-04,1.895369170000e-01
random,10000,3,3.961687920000e-01,2.019580000052e-04,1.914208330000e-01
sorted,100,1,2.108124999992e-03,1.333329999937e-04,8.926249999917e-04
sorted,100,2,2.230916000002e-03,1.297080000029e-04,8.702909999982e-04
sorted,100,3,2.094291999995e-03,1.257920000057e-04,8.993750000030e-04
sorted,1000,1,3.112079100001e-02,1.662079999960e-04,1.365279199999e-02
sorted,1000,2,3.092462500000e-02,1.632909999927e-04,1.345125000000e-02
sorted,1000,3,3.094304100000e-02,1.668750000050e-04,1.348091700000e-02
sorted,5000,1,1.960726670000e-01,1.953750000041e-04,8.529954200000e-02
sorted,5000,2,1.884008330000e-01,1.876669999916e-04,8.537891600000e-02
sorted,5000,3,1.896975000000e-01,1.871670000071e-04,8.520116699999e-02
sorted,10000,1,4.080806250000e-01,1.984579999998e-04,1.848030000000e-01
sorted,10000,2,4.075884580000e-01,1.990410000019e-04,1.842623330000e-01
sorted,10000,3,4.070709580000e-01,2.012079999929e-04,1.842102500000e-01
reversed,100,1,2.107582999997e-03,1.313749999952e-04,9.092089999996e-04
reversed,100,2,2.155708000004e-03,1.289580000048e-04,1.003916999991e-03
reversed,100,3,2.100958000000e-03,1.367500000100e-04,8.919999999932e-04
reversed,1000,1,3.087537500001e-02,1.637919999951e-04,1.366858300000e-02
reversed,1000,2,3.079762500001e-02,1.633330000033e-04,1.354995800000e-02
reversed,1000,3,3.088870800001e-02,1.640840000050e-04,1.364670900000e-02
reversed,5000,1,1.955634590000e-01,1.954170000005e-04,8.485962500001e-02
reversed,5000,2,1.893517910000e-01,1.909589999940e-04,8.574054099999e-02
reversed,5000,3,1.894982500000e-01,1.918749999987e-04,8.627466599999e-02
reversed,10000,1,4.080360830000e-01,2.030839999918e-04,1.866092080000e-01
reversed,10000,2,4.068002910000e-01,1.963750000016e-04,1.864057500000e-01
reversed,10000,3,4.049329580000e-01,1.995000000079e-04,1.860597090000e-01
