distribution,n,trial,insert_time,search_time,delete_time
random,100,1,2.040830000003e-04,1.514579999999e-04,2.458750000001e-04
random,100,2,1.910420000000e-04,1.420829999996e-04,2.347920000001e-04
random,100,3,1.959170000001e-04,1.471249999998e-04,2.548330000001e-04
random,1000,1,2.516000000000e-03,1.819159999998e-04,3.716584000000e-03
random,1000,2,2.323500000000e-03,1.787090000001e-04,3.606417000000e-03
random,1000,3,2.328333000000e-03,1.905830000002e-04,3.535208000000e-03
random,5000,1,1.406570800000e-02,2.356660000000e-04,2.240775000000e-02
random,5000,2,1.389058300000e-02,2.319170000002e-04,2.206662500000e-02
random,5000,3,2.523120800000e-02,2.353749999999e-04,2.362225000000e-02
random,10000,1,2.974079200000e-02,2.485420000000e-04,4.981975000000e-02
random,10000,2,2.812666700000e-02,2.401249999999e-04,4.654070800000e-02
random,10000,3,2.940237500000e-02,2.466249999999e-04,5.024937500000e-02
sorted,100,1,5.496670000000e-04,5.320000000002e-04,1.050041000000e-03
sorted,100,2,5.472910000002e-04,5.697080000000e-04,1.002792000000e-03
sorted,100,3,5.480000000002e-04,5.872090000003e-04,1.069750000000e-03
sorted,1000,1,5.690183300000e-02,4.666791000000e-03,9.641520800000e-02
sorted,1000,2,4.220912500000e-02,4.476459000000e-03,1.019819580000e-01
sorted,1000,3,4.184712500000e-02,4.503208000000e-03,1.026842500000e-01
sorted,5000,1,1.009292667000e+00,2.347420800000e-02,2.498528583000e+00
sorted,5000,2,1.019296792000e+00,2.354925000000e-02,2.469757083000e+00
sorted,5000,3,1.030219042000e+00,1.889775000000e-02,2.527962541000e+00
sorted,10000,1,3.998295167000e+00,4.771850000000e-02,9.759245750000e+00
sorted,10000,2,3.978103708000e+00,4.353704200000e-02,1.014854416700e+01
sorted,10000,3,4.044529750000e+00,5.054075000000e-02,9.974726417000e+00
reversed,100,1,5.257919999977e-04,4.960419999946e-04,9.111249999947e-04
reversed,100,2,5.186669999944e-04,5.723330000009e-04,1.107333000000e-03
reversed,100,3,5.680420000047e-04,5.758340000028e-04,1.151917000001e-03
reversed,1000,1,4.154591600000e-02,4.961374999993e-03,9.119429099999e-02
reversed,1000,2,4.200441700000e-02,5.135707999997e-03,9.805166700000e-02
reversed,1000,3,4.083854100000e-02,3.999332999996e-03,9.318466700000e-02
reversed,5000,1,9.705543340000e-01,2.105566700001e-02,2.476246416000e+00
reversed,5000,2,9.439102080000e-01,2.249850000000e-02,2.280869500000e+00
reversed,5000,3,9.805620000000e-01,2.444725000001e-02,2.416491125000e+00
reversed,10000,1,3.782852916000e+00,4.207804200000e-02,9.421952792000e+00
reversed,10000,2,3.828461000000e+00,4.237466600000e-02,9.181704041000e+00
reversed,10000,3,3.799951333000e+00,4.264591699999e-02,9.229832292000e+00
