distribution,n,trial,insert_time,search_time,delete_time
random,100,1,7.703750000000e-04,1.122500000000e-04,2.735840000000e-04
random,100,2,6.681670000000e-04,8.833300000000e-05,2.505420000000e-04
random,100,3,7.894170000000e-04,9.408399999999e-05,2.147090000000e-04
random,1000,1,7.232250000000e-03,1.193340000001e-04,2.383166000000e-03
random,1000,2,7.560083000000e-03,1.209590000000e-04,2.403542000000e-03
random,1000,3,7.638958000000e-03,1.212910000000e-04,2.510208000000e-03
random,5000,1,4.087345800000e-02,1.457080000000e-04,1.297212500000e-02
random,5000,2,6.036641700000e-02,1.392499999999e-04,1.325987500000e-02
random,5000,3,5.001783400000e-02,1.500410000000e-04,1.285412500000e-02
random,10000,1,8.471183400000e-02,1.807080000000e-04,2.747608300000e-02
random,10000,2,8.252058300000e-02,1.651250000000e-04,2.731400000000e-02
random,10000,3,8.509012500000e-02,1.645410000000e-04,2.744729200000e-02
sorted,100,1,1.033667000000e-03,9.920899999982e-05,2.590410000001e-04
sorted,100,2,1.031958000000e-03,1.025410000002e-04,2.517500000001e-04
sorted,100,3,1.061666000000e-03,1.013750000001e-04,3.255000000000e-04
sorted,1000,1,1.162404200000e-02,1.316250000001e-04,2.584875000000e-03
sorted,1000,2,1.188970800000e-02,1.351669999998e-04,2.614375000000e-03
sorted,1000,3,1.154333400000e-02,1.307079999999e-04,2.657875000000e-03
sorted,5000,1,6.316658300000e-02,1.572920000001e-04,1.445983300000e-02
sorted,5000,2,6.237258300000e-02,1.773340000000e-04,1.431141700000e-02
sorted,5000,3,7.470291600000e-02,1.980420000001e-04,1.423141700000e-02
sorted,10000,1,1.446722500000e-01,2.680419999999e-04,2.889075000000e-02
sorted,10000,2,1.237224160000e-01,2.508750000001e-04,2.905041700000e-02
sorted,10000,3,1.260427090000e-01,2.369160000000e-04,2.903850000000e-02
reversed,100,1,1.007917000000e-03,9.254199999997e-05,2.496669999998e-04
reversed,100,2,1.007791000000e-03,9.579199999998e-05,2.577080000001e-04
reversed,100,3,1.024209000000e-03,9.233300000000e-05,2.425830000001e-04
reversed,1000,1,1.149633400000e-02,1.479999999998e-04,2.693500000000e-03
reversed,1000,2,1.159358300000e-02,1.423749999998e-04,2.743875000000e-03
reversed,1000,3,1.128770800000e-02,1.369160000000e-04,2.847750000000e-03
reversed,5000,1,6.076158300000e-02,1.579999999999e-04,3.053233400000e-02
reversed,5000,2,6.098287500000e-02,1.831660000002e-04,1.454908300000e-02
reversed,5000,3,7.399150000000e-02,1.847499999998e-04,1.448787500000e-02
reversed,10000,1,1.238387090000e-01,2.423750000000e-04,2.898879100000e-02
reversed,10000,2,1.243034170000e-01,2.441250000000e-04,2.935658400000e-02
reversed,10000,3,1.243100000000e-01,2.439580000000e-04,2.952500000000e-02
