index,value,insert_time_seconds
1,7480,2.166999999997e-06
2,2930,3.499999999934e-06
3,8164,2.874999999958e-06
4,221,5.791999999949e-06
5,8872,2.292000000015e-06
6,875,7.500000000049e-06
7,7802,2.250000000092e-06
8,607,5.333999999912e-06
9,2247,3.084000000042e-06
10,1995,7.625000000067e-06
11,2731,1.379200000007e-05
12,3480,3.332999999994e-06
13,3467,1.087499999997e-05
14,1864,2.874999999958e-06
15,4092,3.250000000010e-06
16,5272,1.516700000004e-05
17,56,2.500000000016e-06
18,7814,1.179100000004e-05
19,4691,9.957999999921e-06
20,7602,3.375000000028e-06
21,4887,7.416999999954e-06
22,3807,3.291000000072e-06
23,3455,2.957999999942e-06
24,6006,3.250000000010e-06
25,7068,1.595799999998e-05
26,1071,7.499999999938e-06
27,2159,7.624999999956e-06
28,7313,7.833000000068e-06
29,9586,3.209000000060e-06
30,5669,1.179200000001e-05
31,4665,3.375000000028e-06
32,1235,3.332999999994e-06
33,2870,3.249999999899e-06
34,3529,1.487499999997e-05
35,3310,7.292000000048e-06
36,8094,7.458999999987e-06
37,5089,3.416999999950e-06
38,4911,9.916999999970e-06
39,9815,7.582999999922e-06
40,1278,7.749999999973e-06
41,5673,9.875000000048e-06
42,4567,3.417000000061e-06
43,9029,7.416999999954e-06
44,5196,7.749999999973e-06
45,7713,3.332999999994e-06
46,9600,3.208999999949e-06
47,8361,2.999999999975e-06
48,4448,7.666999999989e-06
49,200,7.416999999954e-06
50,4244,1.654200000001e-05
51,2741,1.020899999993e-05
52,5936,7.666999999989e-06
53,3680,1.037500000001e-05
54,3445,7.416000000093e-06
55,5514,3.416999999950e-06
56,2429,7.124999999997e-06
57,385,3.292000000044e-06
58,5182,1.037500000001e-05
59,792,3.375000000028e-06
60,7295,3.250000000010e-06
61,7726,7.792000000006e-06
62,755,1.104100000004e-05
63,3420,1.045799999999e-05
64,6545,3.583000000029e-06
65,8356,1.533399999998e-05
66,5074,7.125000000108e-06
67,5728,1.466699999997e-05
68,5094,3.541999999968e-06
69,2411,7.250000000014e-06
70,1748,7.542000000083e-06
71,2699,1.145899999999e-05
72,3032,7.625000000067e-06
73,6398,3.500000000045e-06
74,2170,7.290999999965e-06
75,8192,8.000000000008e-06
76,316,3.375000000028e-06
77,5178,1.483299999994e-05
78,7835,1.041599999996e-05
79,4395,9.375000000089e-06
80,3062,1.062500000004e-05
81,114,9.874999999937e-06
82,8247,1.204099999996e-05
83,4171,1.399999999996e-05
84,7929,7.665999999906e-06
85,391,3.458999999983e-06
86,7463,3.458999999983e-06
87,9329,3.333999999966e-06
88,1979,7.624999999956e-06
89,1412,1.024999999999e-05
90,9925,2.833000000035e-06
91,9251,1.033299999997e-05
92,8860,3.584000000001e-06
93,7363,1.154199999998e-05
94,6849,3.458999999983e-06
95,9365,1.908400000006e-05
96,3434,3.916000000048e-06
97,608,7.749999999973e-06
98,2113,3.416999999950e-06
99,420,1.475000000006e-05
100,3046,1.154199999998e-05
101,2511,7.250000000014e-06
102,4293,3.582999999918e-06
103,7437,1.004100000002e-05
104,7553,7.792000000006e-06
105,4518,3.458000000012e-06
106,1466,1.895799999996e-05
107,3354,3.624999999952e-06
108,9199,3.417000000061e-06
109,2264,3.459000000094e-06
110,8248,7.874999999991e-06
111,8216,7.707999999940e-06
112,3693,1.141699999996e-05
113,6238,7.499999999938e-06
114,1406,3.665999999902e-06
115,2498,1.454200000006e-05
116,6805,3.458000000012e-06
117,1924,7.749999999973e-06
118,2143,3.624999999952e-06
119,1321,1.033299999997e-05
120,1517,1.041699999993e-05
121,8642,9.957999999921e-06
122,4441,3.458000000012e-06
123,8656,7.666999999989e-06
124,955,3.291999999933e-06
125,5902,1.016700000001e-05
126,1310,1.491600000003e-05
127,3146,3.332999999994e-06
128,1964,1.033299999997e-05
129,7483,7.792000000006e-06
130,8684,1.062499999993e-05
131,8220,7.750000000084e-06
132,3299,1.183300000007e-05
133,2418,3.375000000028e-06
134,9260,3.541999999968e-06
135,8350,3.625000000063e-06
136,2541,3.500000000045e-06
137,4988,3.415999999978e-06
138,4516,7.749999999973e-06
139,2099,3.792000000002e-06
140,241,3.625000000063e-06
141,3222,1.033399999995e-05
142,4444,3.625000000063e-06
143,5707,7.499999999938e-06
144,7847,7.666999999989e-06
145,7758,3.499999999934e-06
146,1220,3.707999999936e-06
147,5710,1.012499999997e-05
148,5589,1.024999999999e-05
149,2955,3.666000000013e-06
150,8038,1.154100000000e-05
151,4932,7.166999999919e-06
152,8014,7.750000000084e-06
153,1392,3.584000000001e-06
154,892,1.849999999992e-05
155,273,1.070800000003e-05
156,2852,3.541999999968e-06
157,8542,3.624999999952e-06
158,9379,1.479100000001e-05
159,2494,1.183300000007e-05
160,8854,1.529099999997e-05
161,2794,7.832999999957e-06
162,8502,1.029100000005e-05
163,5265,3.583000000029e-06
164,5131,9.999999999954e-06
165,2566,3.416999999950e-06
166,7339,1.170799999994e-05
167,6136,7.792000000006e-06
168,767,2.195800000004e-05
169,4012,3.624999999952e-06
170,8137,1.295899999998e-05
171,1956,1.704199999997e-05
172,151,9.959000000004e-06
173,669,4.374999999945e-06
174,1698,8.208000000010e-06
175,3542,3.917000000020e-06
176,3247,1.570900000003e-05
177,6419,8.042000000041e-06
178,4715,3.666999999985e-06
179,336,7.833000000068e-06
180,5921,3.209000000060e-06
181,7581,7.625000000067e-06
182,5083,1.187499999999e-05
183,2417,7.749999999973e-06
184,5103,7.833999999929e-06
185,2208,3.416999999950e-06
186,8821,1.083299999993e-05
187,3808,1.454200000006e-05
188,1988,3.624999999952e-06
189,5813,1.462500000005e-05
190,2836,7.791000000035e-06
191,2706,3.500000000045e-06
192,4907,3.540999999996e-06
193,1124,3.541999999968e-06
194,4431,3.666000000013e-06
195,8999,3.541999999968e-06
196,3982,1.008299999994e-05
